Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Count,AST,Last5AwayOver2.5Perc,HST,Last5HomeOver2.5Count,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,B365C>2.5,AvgLast5HomeGoalsConceded,PC<2.5,B365CAHH,Over2.5
2026-02-20,D1,19:30,Mainz,Hamburg,D,H,2025/2026,-0.771604001988629,-0.5070123128922955,0.33197489725759416,-0.7793498077151204,-0.8456006459482591,-0.5084234619802076,-1.912508647408627,-0.05926831580874556,-0.18045426027038466,-0.5147902967096412,-0.4625856795377004,0.25283305593086336,-1.1143502609243587,0.0,-1.4588252574892202,0
2026-02-21,D1,14:30,Bayern Munich,Ein Frankfurt,H,H,2025/2026,1.4867737539406498,0.28367285982282925,-0.5003316041791617,-0.01750774922457059,2.064181582575511,1.8677537607468941,2.733487969223061,0.958511728079364,2.2869258797422307,0.4960152932810988,0.5646948930811398,-1.8827575338116638,0.2656176526122304,0.0,0.633915569904218,1
2026-02-21,D1,14:30,FC Koln,Hoffenheim,D,D,2025/2026,0.7339811686308902,0.28367285982282925,0.7481281479759722,-0.01750774922457059,-0.48187786738278787,1.075694686504527,0.8750893225703857,0.4496217061353087,-0.4047615457260772,0.24331389578341386,-0.20576553638299017,-0.35733568399557264,0.2656176526122304,0.0,-1.6680993402285642,1
2026-02-21,D1,14:30,Union Berlin,Leverkusen,H,H,2025/2026,-0.01881141667886937,-0.5070123128922955,-1.3326381056159176,-0.7793498077151204,-0.48187786738278787,0.2836356122621596,0.41048966090721656,-0.05926831580874556,-0.4047615457260772,-0.009387501714271322,-0.9762259658471202,1.6638482670107477,-0.01037593009508766,0.0,-1.1449141333802042,0
2026-02-21,D1,14:30,Wolfsburg,Augsburg,A,H,2025/2026,0.7339811686308902,0.28367285982282925,0.7481281479759722,-0.01750774922457059,-0.48187786738278787,1.075694686504527,0.8750893225703857,0.4496217061353087,0.04385302518530762,-0.5147902967096412,0.30787474992642966,0.25283305593086336,1.093598400734184,0.0,0.11073036305585791,1
2026-02-21,D1,17:30,RB Leipzig,Dortmund,D,H,2025/2026,0.7339811686308902,1.074358032537954,0.33197489725759416,0.7443343092659793,-0.8456006459482591,1.075694686504527,0.8750893225703857,-0.05926831580874556,-0.18045426027038466,1.001418088276469,-0.4625856795377004,-0.5098778689771818,1.093598400734184,0.0,-0.09854371968348614,1
2026-02-22,D1,14:30,Freiburg,M'gladbach,H,H,2025/2026,-0.01881141667886937,0.28367285982282925,-0.9164848548975396,-0.01750774922457059,0.24556768974815466,0.2836356122621596,0.8750893225703857,-0.5681583377528003,-0.18045426027038466,-1.020193091705011,0.5646948930811398,0.6341885183848863,-0.8383566782170409,0.0,-1.1449141333802042,1
2026-02-22,D1,16:30,St Pauli,Werder Bremen,H,D,2025/2026,-0.01881141667886937,-0.5070123128922955,-0.08417835346078376,-0.7793498077151204,-0.48187786738278787,0.2836356122621596,0.41048966090721656,-0.05926831580874556,-0.4047615457260772,-1.5255958867003812,-0.4625856795377004,1.6638482670107477,-0.8383566782170409,0.0,-0.6217289265318463,1
2026-02-22,D1,18:30,Heidenheim,Stuttgart,D,D,2025/2026,0.7339811686308902,1.8650432052530788,1.580434649412728,1.5061763677565292,0.24556768974815466,1.075694686504527,1.3396889842335549,2.9940718158555844,-0.8533761166374618,2.0122236782672087,-0.7194058226924103,-0.6242845077133887,1.921579148856137,0.0,0.9478266940132318,1
2026-02-27,D1,19:30,Augsburg,FC Koln,H,D,2025/2026,-0.771604001988629,0.28367285982282925,-0.5003316041791617,-0.01750774922457059,-0.48187786738278787,-0.5084234619802076,-0.5187096624191202,-1.0770483596968556,-0.18045426027038466,-0.767491694207326,0.5646948930811398,0.5197818796486795,-0.8383566782170409,0.0,-0.09854371968348614,0
